"date","state","county","fips","Median(R)"
2020-03-03,"New York","New York City",NA,4.56043832881583
2020-03-04,"New York","New York City",NA,5.27006014656249
2020-03-05,"New York","New York City",NA,4.80364402374964
2020-03-06,"New York","New York City",NA,5.52726064811639
2020-03-07,"New York","New York City",NA,5.6303496595265
2020-03-08,"New York","New York City",NA,5.81989239869868
2020-03-09,"New York","New York City",NA,4.29194706648184
2020-03-10,"New York","New York City",NA,3.78506096960914
2020-03-11,"New York","New York City",NA,3.54280509651
2020-03-12,"New York","New York City",NA,5.28344607455727
2020-03-13,"New York","New York City",NA,6.47411356382834
2020-03-14,"New York","New York City",NA,6.82342560199177
2020-03-15,"New York","New York City",NA,5.36685454449663
2020-03-16,"New York","New York City",NA,4.61517735696961
2020-03-17,"New York","New York City",NA,3.9763879281557
2020-03-18,"New York","New York City",NA,3.19287773974972
2020-03-19,"New York","New York City",NA,2.95384292948559
2020-03-20,"New York","New York City",NA,2.43051774380476
2020-03-21,"New York","New York City",NA,1.90930593403152
2020-03-22,"New York","New York City",NA,1.8291725230102
2020-03-23,"New York","New York City",NA,1.58100953650323
2020-03-24,"New York","New York City",NA,1.44678724766002
2020-03-25,"New York","New York City",NA,1.43246388843741
2020-03-26,"New York","New York City",NA,1.28116590552235
2020-03-27,"New York","New York City",NA,1.24714056498325
2020-03-28,"New York","New York City",NA,1.30825354249156
2020-03-29,"New York","New York City",NA,1.27527413119572
2020-03-30,"New York","New York City",NA,1.25394751034257
2020-03-31,"New York","New York City",NA,1.20332168693371
2020-04-01,"New York","New York City",NA,1.1403684632641
2020-04-02,"New York","New York City",NA,1.12161369052996
2020-04-03,"New York","New York City",NA,1.11859190320092
2020-04-04,"New York","New York City",NA,1.09124797247921
2020-04-05,"New York","New York City",NA,1.06058291246395
2020-04-06,"New York","New York City",NA,1.06005642607889
2020-04-07,"New York","New York City",NA,1.01586470402005
2020-04-08,"New York","New York City",NA,0.977062860535634
2020-04-09,"New York","New York City",NA,1.05345833614204
2020-04-10,"New York","New York City",NA,1.03899273106562
2020-04-11,"New York","New York City",NA,0.997355442696759
2020-04-12,"New York","New York City",NA,0.934389569450832
2020-04-13,"New York","New York City",NA,0.888289062329942
2020-04-14,"New York","New York City",NA,0.866304084078933
2020-04-15,"New York","New York City",NA,0.851073971803526
2020-04-16,"New York","New York City",NA,0.736108455600524
2020-04-17,"New York","New York City",NA,0.72172948131282
2020-04-18,"New York","New York City",NA,0.775559876844394
2020-04-19,"New York","New York City",NA,0.84759547943385
2020-04-20,"New York","New York City",NA,0.887830242857763
2020-04-21,"New York","New York City",NA,0.913877914303932
2020-04-22,"New York","New York City",NA,0.913182294143891
2020-04-23,"New York","New York City",NA,0.908675675917821
2020-04-24,"New York","New York City",NA,0.891847606025151
2020-04-25,"New York","New York City",NA,0.805058215024054
2020-04-26,"New York","New York City",NA,0.735897137787058
2020-04-27,"New York","New York City",NA,0.724968158024039
2020-04-28,"New York","New York City",NA,0.719363740972516
2020-04-29,"New York","New York City",NA,0.729424145085229
2020-04-30,"New York","New York City",NA,0.715529658267939
