S,E,I,R,D
0.9999999,1e-07,0.0,0.0,0.0
0.9999999,5e-08,5e-08,0.0,0.0
0.9999998750000025,4.99999975e-08,6.668041666666666e-08,8.25e-09,6.958333333333333e-11
0.9999998416597984,5.8340202915807374e-08,8.058534975347223e-08,1.9252268749999998e-08,1.6238024652777777e-10
0.9999998013671298,6.946276995468954e-08,9.63467205569794e-08,3.254885145932291e-08,2.745281916013599e-10
0.9999997531937791,8.290473568702165e-08,1.1504681412298078e-07,4.844606035122451e-08,4.086107110431563e-10
0.9999996956703863,9.897576070786651e-08,1.3735635081987863e-07,6.742878468151633e-08,5.687175273643045e-10
0.9999996269922318,1.1816603486306997e-07,1.6398927903364093e-07,9.00925825667963e-08,7.598717822553023e-10
0.9999995449976229,1.4107762636371797e-07,1.9578584701130334e-07,1.1715081360734705e-07,9.880901955771194e-10
0.999999447104744,1.6843169214599775e-07,2.3374752679920654e-07,1.494554783642121e-07,1.2605588326678498e-09
0.9999993302310451,2.0108954485365282e-07,2.790697323088741e-07,1.8802382028608117e-07,1.585857474130079e-09
0.9999991906962724,2.40079545125142e-07,3.331796268606065e-07,2.340703261170454e-07,1.974229518259929e-09
0.9999990241065938,2.866294511711172e-07,3.9778108601046306e-07,2.8904496454904544e-07,2.437904498974273e-09
0.999998825216245,3.422050744948206e-07,4.74908353726264e-07,3.5467884374077185e-07,2.991483177005501e-09
0.9999985877623471,4.0855643515323275e-07,5.669900984832383e-07,4.330387221056054e-07,3.652397302607885e-09
0.9999983042676982,4.877728664558526e-07,6.769258885897313e-07,5.265920883553397e-07,4.441458522997058e-09
0.9999979658053278,5.823488035802443e-07,8.08177495005398e-07,6.382848599726453e-07,5.383513717951101e-09
0.9999975617174024,6.952623272976437e-07,9.648778964390804e-07,7.71634146648536e-07,6.508227398500279e-09
0.9999970792796306,8.300689355458699e-07,1.1519614187695762e-06,9.308389995609843e-07,7.851015804378e-09
0.9999965033006034,9.91013494879132e-07,1.3753191061377433e-06,1.1209126336579643e-06,9.45416211216566e-09
0.9999958156434549,1.1831638959696915e-06,1.64198421530854e-06,1.3478402861706918e-06,1.1368147868207352e-08
0.9999949946547825,1.412570620315412e-06,1.960353673067839e-06,1.6187676816966008e-06,1.365324256784507e-08
0.9999940144828521,1.6864572405681734e-06,2.3404524683076655e-06,1.9422260377527943e-06,1.6381401429531147e-08
0.9999928442636223,2.0134478500287007e-06,2.794249301635926e-06,2.328400695023559e-06,1.9638531114592646e-08
0.9999914471489689,2.4038385783765597e-06,3.3360334282689055e-06,2.7894518297934867e-06,2.3527194726035977e-08
0.9999897791465211,2.8699217370241e-06,3.9828645552718085e-06,3.339897345457856e-06,2.8169841247043537e-08
0.9999877877345976,3.4263727920100453e-06,4.75510995232459e-06,3.997069997077705e-06,3.371266108646347e-08
0.9999854102086568,4.090712336834002e-06,5.67708567817907e-06,4.781663139211262e-06,4.033018910344852e-08
0.9999825717072315,4.88385759375652e-06,6.7778220987943924e-06,5.718382276110809e-06,4.823080000558106e-08
0.999979182855245,5.830780783336002e-06,8.091977780284088e-06,6.836722922411883e-06,5.7663269093069924e-08
0.9999751369505808,6.961295055860256e-06,9.660930502460986e-06,8.171899256158758e-06,6.892460483729862e-08
0.9999703066054297,8.310992679031894e-06,1.1534079702535792e-05,9.76595278906482e-06,8.236939978655683e-08
0.9999645397368215,9.922364947715285e-06,1.3770401296880639e-05,1.1669075939983226e-05,9.842099403925247e-08
0.9999576547803243,1.1846138971079912e-05,1.6440303748281483e-05,1.394119215396853e-05,1.175848025107447e-07
0.9999494349765348,1.4142873275080483e-05,1.9627843692638634e-05,1.6653842272434976e-05,1.404642252271031e-07
0.9999396215509307,1.688486224154727e-05,2.343337070508791e-05,1.989243648172035e-05,1.6777964103269185e-07
0.9999279055730163,2.0158409035301854e-05,2.7976684218624126e-05,2.3758942648059855e-05,2.0039108193060586e-07
