,S,E,I,R,C
0,1000000.0,30.0,22.0,34.0,15.0
1,999984.0,42.0,23.0,37.0,16.571428571428573
2,999965.0,53.0,29.0,39.0,18.214285714285715
3,999943.0,73.0,26.0,44.0,20.28571428571429
4,999930.0,72.0,37.0,47.0,22.142857142857146
5,999909.0,83.0,42.0,52.0,24.78571428571429
6,999896.0,79.0,49.0,62.0,27.78571428571429
7,999861.0,95.0,59.0,71.0,31.28571428571429
8,999818.0,121.0,67.0,80.0,35.5
9,999778.0,132.0,88.0,88.0,40.285714285714285
10,999734.0,151.0,103.0,98.0,46.57142857142857
11,999702.0,164.0,99.0,121.0,53.92857142857142
12,999665.0,160.0,121.0,140.0,60.99999999999999
13,999630.0,163.0,126.0,167.0,69.64285714285714
14,999591.0,176.0,131.0,188.0,78.64285714285714
15,999517.0,218.0,144.0,207.0,88.0
16,999475.0,223.0,159.0,229.0,98.28571428571429
17,999417.0,233.0,176.0,260.0,109.64285714285715
18,999297.0,296.0,195.0,298.0,122.21428571428572
19,999236.0,294.0,216.0,340.0,136.14285714285714
20,999156.0,320.0,228.0,382.0,151.57142857142856
21,999023.0,386.0,245.0,432.0,167.85714285714283
22,998947.0,386.0,284.0,469.0,185.35714285714283
23,998816.0,445.0,303.0,522.0,205.6428571428571
24,998635.0,547.0,319.0,585.0,227.28571428571425
25,998474.0,608.0,355.0,649.0,250.07142857142853
26,998320.0,622.0,432.0,712.0,275.4285714285714
27,998158.0,677.0,454.0,797.0,306.2857142857142
28,997892.0,814.0,485.0,895.0,338.71428571428567
29,997627.0,926.0,548.0,985.0,373.35714285714283
30,997403.0,963.0,621.0,1099.0,412.5
31,997040.0,1143.0,687.0,1216.0,456.85714285714283
32,996671.0,1282.0,793.0,1340.0,505.9285714285714
33,996214.0,1501.0,894.0,1477.0,562.5714285714286
34,995866.0,1571.0,1015.0,1634.0,626.4285714285714
35,995282.0,1821.0,1164.0,1819.0,698.9285714285714
36,994785.0,1949.0,1328.0,2024.0,782.0714285714286
37,994383.0,1945.0,1480.0,2278.0,876.9285714285714
38,993416.0,2559.0,1565.0,2546.0,982.6428571428571
39,992939.0,2504.0,1817.0,2826.0,1094.4285714285713
40,992308.0,2639.0,1966.0,3173.0,1224.2142857142856
41,991103.0,3348.0,2088.0,3547.0,1364.6428571428569
42,990212.0,3552.0,2420.0,3902.0,1513.785714285714
43,989472.0,3579.0,2685.0,4350.0,1686.6428571428569
44,987751.0,4622.0,2897.0,4816.0,1878.428571428571
45,986781.0,4706.0,3255.0,5344.0,2085.3571428571427
46,985766.0,4776.0,3644.0,5900.0,2317.8571428571427
47,984663.0,4931.0,3939.0,6553.0,2578.142857142857
48,982830.0,5788.0,4225.0,7243.0,2859.4999999999995
49,981414.0,6125.0,4509.0,8038.0,3161.2857142857138
50,978918.0,7439.0,4828.0,8901.0,3483.357142857142
51,976562.0,8371.0,5407.0,9746.0,3828.214285714285
52,975216.0,8092.0,6059.0,10719.0,4214.428571428571
53,971570.0,10155.0,6566.0,11795.0,4647.214285714285
54,969175.0,10465.0,7463.0,12983.0,5116.214285714285
55,964800.0,12756.0,8235.0,14295.0,5649.285714285714
56,959524.0,15456.0,9326.0,15780.0,6237.499999999999
57,954432.0,17597.0,10609.0,17448.0,6903.642857142856
58,949827.0,18760.0,12163.0,19336.0,7661.428571428571
59,946808.0,18081.0,13611.0,21586.0,8530.214285714284
60,938699.0,22593.0,14700.0,24094.0,9502.42857142857
61,930000.0,26940.0,16316.0,26830.0,10552.42857142857
62,924573.0,27119.0,18650.0,29744.0,11717.857142857141
63,919984.0,26348.0,20594.0,33160.0,13049.999999999998
64,908288.0,32949.0,22008.0,36841.0,14520.999999999998
65,895468.0,39466.0,24369.0,40783.0,16092.999999999998
66,888791.0,38337.0,27751.0,45207.0,17833.642857142855
67,874214.0,45478.0,30166.0,50228.0,19815.85714285714
68,866175.0,44746.0,33488.0,55677.0,21970.571428571428
69,850759.0,51426.0,36100.0,61801.0,24362.571428571428
70,839964.0,52102.0,39523.0,68497.0,26941.142857142855
71,828344.0,53538.0,42596.0,75608.0,29764.214285714283
72,808418.0,63083.0,45294.0,83291.0,32806.78571428571
73,785286.0,73688.0,49627.0,91485.0,36042.07142857143
74,775436.0,69234.0,54842.0,100574.0,39586.857142857145
75,762177.0,68832.0,58479.0,110598.0,43504.14285714286
76,750743.0,66695.0,61542.0,121106.0,47681.21428571429
77,723138.0,81368.0,63292.0,132288.0,52077.071428571435
78,703514.0,85063.0,67674.0,143835.0,56597.92857142858
79,689786.0,81902.0,72373.0,156025.0,61431.785714285725
80,669917.0,86132.0,74838.0,169199.0,66601.28571428572
81,648386.0,91051.0,77768.0,182881.0,71946.85714285716
82,617116.0,104475.0,81302.0,197193.0,77501.7142857143
83,593931.0,107311.0,86993.0,211851.0,83309.00000000001
84,561608.0,118591.0,92378.0,227509.0,89522.78571428572
85,545159.0,111881.0,98587.0,244459.0,96121.21428571429
86,529491.0,105935.0,102395.0,262265.0,103163.14285714286
87,503161.0,111678.0,104396.0,280851.0,110477.07142857142
88,473117.0,119510.0,107849.0,299610.0,117933.92857142857
89,441045.0,128630.0,111269.0,319142.0,125637.42857142857
90,421957.0,122550.0,116480.0,339099.0,133585.2142857143
91,399573.0,121179.0,119136.0,360198.0,141905.2142857143
92,385150.0,111884.0,121346.0,381706.0,150414.92857142858
93,367108.0,108282.0,120981.0,403715.0,159082.5
94,342116.0,112094.0,120346.0,425530.0,167724.0
95,317562.0,114988.0,120047.0,447489.0,176320.14285714287
96,296248.0,113747.0,120831.0,469260.0,184894.92857142858
97,284755.0,103222.0,120747.0,491362.0,193525.7142857143
98,276221.0,91605.0,119042.0,513218.0,202150.5
