,S,E,I,R,C
0,1000000.0,30.0,22.0,34.0,15.0
1,999996.0,31.0,18.0,41.0,16.571428571428573
2,999982.0,34.0,28.0,42.0,17.857142857142858
3,999960.0,51.0,27.0,48.0,19.857142857142858
4,999945.0,53.0,33.0,55.0,21.785714285714285
5,999923.0,66.0,35.0,62.0,24.142857142857142
6,999915.0,61.0,45.0,65.0,26.642857142857142
7,999896.0,63.0,54.0,73.0,29.857142857142858
8,999861.0,84.0,59.0,82.0,33.714285714285715
9,999840.0,92.0,61.0,93.0,37.92857142857143
10,999826.0,93.0,62.0,105.0,42.285714285714285
11,999807.0,93.0,68.0,118.0,46.714285714285715
12,999782.0,108.0,58.0,138.0,51.57142857142857
13,999751.0,119.0,64.0,152.0,55.714285714285715
14,999733.0,118.0,73.0,162.0,60.285714285714285
15,999704.0,129.0,76.0,177.0,65.5
16,999678.0,135.0,87.0,186.0,70.92857142857143
17,999638.0,152.0,88.0,208.0,77.14285714285714
18,999590.0,174.0,100.0,222.0,83.42857142857143
19,999560.0,165.0,118.0,243.0,90.57142857142857
20,999515.0,174.0,132.0,265.0,99.0
21,999486.0,161.0,146.0,293.0,108.42857142857143
22,999424.0,195.0,150.0,317.0,118.85714285714286
23,999328.0,252.0,166.0,340.0,129.57142857142858
24,999245.0,293.0,173.0,375.0,141.42857142857144
25,999183.0,291.0,212.0,400.0,153.7857142857143
26,999058.0,348.0,244.0,436.0,168.92857142857144
27,998990.0,342.0,272.0,482.0,186.35714285714286
28,998915.0,346.0,292.0,533.0,205.78571428571428
29,998730.0,454.0,314.0,588.0,226.64285714285714
30,998545.0,548.0,348.0,645.0,249.07142857142856
31,998336.0,638.0,406.0,706.0,273.9285714285714
32,998217.0,626.0,452.0,791.0,302.9285714285714
33,998088.0,635.0,495.0,868.0,335.21428571428567
34,997778.0,830.0,519.0,959.0,370.5714285714285
35,997565.0,896.0,567.0,1058.0,407.64285714285705
36,997304.0,996.0,617.0,1169.0,448.14285714285705
37,996914.0,1193.0,680.0,1299.0,492.2142857142856
38,996737.0,1091.0,862.0,1396.0,540.7857142857142
39,996436.0,1181.0,919.0,1550.0,602.3571428571428
40,995942.0,1429.0,998.0,1717.0,667.9999999999999
41,995394.0,1709.0,1095.0,1888.0,739.2857142857142
42,994719.0,2056.0,1227.0,2084.0,817.4999999999999
43,994081.0,2295.0,1422.0,2288.0,905.142857142857
44,993416.0,2532.0,1597.0,2541.0,1006.7142857142856
45,992842.0,2618.0,1797.0,2829.0,1120.7857142857142
46,992233.0,2688.0,2015.0,3150.0,1249.142857142857
47,990950.0,3463.0,2153.0,3520.0,1393.0714285714284
48,989659.0,4077.0,2421.0,3929.0,1546.8571428571427
49,988114.0,4817.0,2786.0,4369.0,1719.785714285714
50,986580.0,5400.0,3210.0,4896.0,1918.785714285714
51,984822.0,6095.0,3680.0,5489.0,2148.0714285714284
52,982786.0,6908.0,4227.0,6165.0,2410.928571428571
53,981759.0,6591.0,4832.0,6904.0,2712.8571428571427
54,980442.0,6620.0,5249.0,7775.0,3058.0
55,978836.0,6918.0,5629.0,8703.0,3432.9285714285716
56,977367.0,7010.0,6010.0,9699.0,3835.0
57,974281.0,8682.0,6329.0,10794.0,4264.285714285715
58,970650.0,10589.0,6990.0,11857.0,4716.357142857143
59,966383.0,12825.0,7745.0,13133.0,5215.642857142858
60,961978.0,14793.0,8803.0,14512.0,5768.857142857143
61,958709.0,15125.0,10165.0,16087.0,6397.642857142858
62,954941.0,15896.0,11364.0,17885.0,7123.714285714286
63,949341.0,18406.0,12378.0,19961.0,7935.428571428572
64,945198.0,19015.0,13671.0,22202.0,8819.57142857143
65,939121.0,21327.0,14984.0,24654.0,9796.07142857143
66,930661.0,25643.0,16388.0,27394.0,10866.357142857143
67,921682.0,29620.0,18432.0,30352.0,12036.928571428572
68,916640.0,28856.0,20909.0,33681.0,13353.500000000002
69,910125.0,29756.0,22728.0,37477.0,14847.000000000002
70,903563.0,30348.0,24691.0,41484.0,16470.428571428572
71,889778.0,38198.0,26302.0,45808.0,18234.07142857143
72,877203.0,43336.0,28853.0,50694.0,20112.785714285717
73,869426.0,42629.0,32104.0,55927.0,22173.71428571429
74,855902.0,47648.0,34822.0,61714.0,24466.85714285715
75,848080.0,46186.0,37811.0,68009.0,26954.142857142862
76,834501.0,50917.0,39726.0,74942.0,29654.928571428576
77,825163.0,50294.0,42508.0,82121.0,32492.500000000004
78,803590.0,62006.0,44517.0,89973.0,35528.78571428572
79,793305.0,60035.0,48469.0,98277.0,38708.571428571435
80,777072.0,64497.0,51458.0,107059.0,42170.64285714286
81,766603.0,62409.0,54826.0,116248.0,45846.21428571429
82,742178.0,74482.0,57167.0,126259.0,49762.357142857145
83,715432.0,86801.0,61335.0,136518.0,53845.71428571429
84,701084.0,84140.0,67238.0,147624.0,58226.78571428572
85,679162.0,89751.0,71445.0,159728.0,63029.5
86,650628.0,100698.0,76096.0,172664.0,68132.71428571429
87,638020.0,93597.0,81959.0,186510.0,73568.14285714286
88,605262.0,108108.0,85034.0,201682.0,79422.35714285714
89,576907.0,115647.0,90580.0,216952.0,85496.21428571429
90,562757.0,107194.0,96672.0,233463.0,91966.21428571429
91,545220.0,103806.0,100172.0,250888.0,98871.35714285714
92,527217.0,101497.0,102334.0,269038.0,106026.5
93,495971.0,112848.0,103628.0,287639.0,113336.07142857143
94,476827.0,109648.0,107322.0,306289.0,120738.07142857143
95,444772.0,120322.0,109144.0,325848.0,128403.92857142858
96,426309.0,115202.0,113129.0,345446.0,136199.92857142858
97,414104.0,104755.0,115025.0,366202.0,144280.57142857145
98,393564.0,104982.0,114756.0,386784.0,152496.64285714287
99,381650.0,96401.0,114496.0,407539.0,160693.5
100,354336.0,104780.0,112593.0,428377.0,168871.7857142857
