,S,E,I,R,C
0,1000000.0,30.0,22.0,34.0,15.0
1,999990.1,33.37826086956522,24.121739130434783,38.4,16.571428571428573
2,999979.2453248536,36.97679234861626,26.553534971644613,43.224347826086955,18.2944099378882
3,999967.2964821159,40.88720196709538,29.281261096580096,48.53505482041588,20.191091007291387
4,999954.1203455426,45.174816373685886,32.31353104402395,54.3913070397319,22.282609657047107
5,999939.5799237129,49.894625948210184,35.671437090368265,60.85401324853669,24.590719017334532
6,999923.5287468941,55.099144952119985,39.38380748712291,67.98830066661034,27.138678809503695
7,999905.807388803,60.84242805363421,43.48512097928963,75.86506216403492,29.95180791572676
8,999886.240927552,67.18227451035428,48.01471157770001,84.56208635989285,33.05788798567602
9,999864.6367652911,74.18159448638583,53.016611547019636,94.16502867543285,36.48751024122602
10,999840.7825195199,81.90940667353321,58.53972282161263,104.76835098483679,40.27441106601314
11,999814.4438384965,90.44169494191394,64.63817101240602,116.47629554915932,44.45581983898547
12,999785.3620588458,99.86223656174094,71.37177484077567,129.40392975164053,49.07283205415733
13,999753.2516537583,110.2634597879782,78.80660173386858,143.67828471979567,54.170815971355594
14,999717.7974334075,121.74736279361358,87.01559873230752,159.43960506656938,59.799858952346206
15,999678.6514641894,134.4265140131572,96.07929698445767,176.84272481303088,66.01525886179674
16,999635.42967427,148.42514871227814,106.08659280781771,196.05858420992243,72.878065789258
17,999587.7081117171,163.88037458855092,117.13561092283638,217.27590277148596,80.45567956124498
18,999535.0188191299,180.94349878701624,129.3346571270845,240.70302495605324,88.82250891287615
19,999476.8452856045,199.78148909791625,142.80326891623636,266.56995638147015,98.0606987076679
20,999412.6174332837,220.57858291916153,157.6733736325361,295.13061016471744,108.26093220168478
21,999341.706091715,243.53805863590296,174.09056475802055,326.66528489122464,119.52331603258021
22,999263.4169088152,268.8841853105944,192.21550803161273,361.48339784282877,131.95835637243883
23,999176.9836424128,296.86436794976163,212.22549018846286,399.9264994491513,145.68803551755403
24,999081.5607711005,327.7515070991133,234.31612431376197,442.3715974868439,160.84699910244424
25,998976.2153574635,361.8465931058241,258.7032270812516,489.2348223495963,177.5838651248558
26,998859.9180906528,399.48155706740795,285.62488451409354,540.9754677658466,196.06266705923093
27,998731.5334287151,441.02240225130345,315.3437243650592,598.1004446686653,216.46444452452332
28,998574.061568019,502.61982767539973,348.14941476406983,661.1691895416772,238.9889962648847
29,998417.6177292089,549.7984865560337,387.7847117406906,730.7990724944912,263.8568116051754
30,998243.3907395693,604.5040660747336,429.7491795134294,808.3560148426293,291.55571958665325
31,998050.3433144131,666.137563823448,475.21327101829434,894.3058507453152,322.2520895518982
32,997836.9142686838,734.7540956781036,524.9831306892982,989.3485049489741,356.1958946246335
33,997601.1828724572,810.7563406702882,579.7156557858088,1094.3451310868338,393.6946896738691
34,997340.9366116835,894.7512230374261,640.0239030352315,1210.2882622439956,435.10295080142686
35,997053.6916941752,987.4850051026677,706.5302578711039,1338.293042851042,480.818943875372
36,996736.6898233184,1089.8162226762888,779.8948595800719,1479.5990944252628,531.2853908661651
37,996386.8824039818,1202.7070718658977,860.8324578110768,1635.5780663412772,586.992166550456
38,996000.9074279721,1327.2239887743567,950.1240253501435,1807.7445579034925,648.4801992512472
39,995575.061451834,1464.543010831012,1048.6261743614966,1997.7693629735213,716.3462010619718
40,995105.2677212431,1615.9578260239427,1157.2798548872433,2207.494597845821,791.2480706592215
41,994587.0408453214,1782.8895223752077,1277.119063480217,2438.9505688232694,873.9109174368817
42,994015.4481137521,1966.8975751672601,1409.2799295613927,2694.374381519313,965.1337076854686
43,993385.0674044368,2169.6918550983814,1555.0103730333012,2976.2303674315913,1065.7965597969967
44,992689.9415665332,2393.1455505893177,1715.6804408393327,3287.2324420382515,1176.8687292993754
45,991923.5291440795,2639.308940306148,1892.7933854082744,3630.368530206118,1299.4173322164706
46,991078.6513114219,2910.4239598537515,2087.997521436652,4008.927207287773,1434.616859745633
47,990147.4349160527,3208.9394943851426,2303.0988779870936,4426.526711575103,1583.759539848251
48,989121.2515651741,3537.5273030061344,2540.0746446473145,4887.146487172522,1748.266602561615
49,987990.6527499619,3899.098443651716,2801.0873902844023,5395.161416101985,1929.7005057507088
50,986745.3010783504,4296.8200188172395,3088.500008673547,5955.3788941588655,2129.778176485309
51,985373.8977864279,4734.1320023012895,3404.8913153773683,6573.0788958935755,2350.3853199619907
52,983864.1068242902,5214.7638335038755,3753.072183236958,7254.057158969049,2593.5918424889455
53,982202.4759691568,5742.750377005981,4136.102058220844,8004.671595616441,2861.6684270058713
54,980374.3556120563,6322.446739105218,4557.305641577976,8831.892007260609,3157.10428830736
