S,E,I,R,C
1e+06,30,22,34,15
9.9999e+05,33.377,24.122,38.4,16.571
9.9998e+05,36.975,26.553,43.224,18.294
9.9997e+05,40.885,29.281,48.535,20.191
9.9995e+05,45.172,32.313,54.391,22.283
9.9994e+05,49.89,35.67,60.854,24.591
9.9992e+05,55.094,39.382,67.988,27.138
9.9991e+05,60.836,43.482,75.864,29.951
9.9989e+05,67.174,48.011,84.561,33.057
9.9986e+05,74.172,53.012,94.163,36.487
9.9984e+05,81.898,58.534,104.77,40.273
9.9981e+05,90.428,64.631,116.47,44.454
9.9979e+05,99.845,71.363,129.4,49.071
9.9975e+05,110.24,78.796,143.67,54.168
9.9972e+05,121.72,87.003,159.43,59.796
9.9968e+05,134.4,96.064,176.83,66.011
9.9964e+05,148.39,106.07,196.04,72.873
9.9959e+05,163.84,117.11,217.26,80.449
9.9954e+05,180.9,129.31,240.68,88.814
9.9948e+05,199.73,142.77,266.54,98.05
9.9941e+05,220.52,157.64,295.1,108.25
9.9934e+05,243.47,174.05,326.62,119.51
9.9926e+05,268.81,192.17,361.43,131.94
9.9918e+05,296.77,212.17,399.87,145.67
9.9908e+05,327.65,234.25,442.3,160.82
9.9898e+05,361.73,258.63,489.15,177.55
9.9886e+05,399.35,285.54,540.88,196.03
9.9873e+05,440.87,315.25,597.99,216.42
9.9859e+05,486.7,348.04,661.04,238.94
9.9843e+05,537.28,384.23,730.64,263.8
9.9826e+05,593.1,424.19,807.49,291.25
9.9807e+05,654.7,468.28,892.33,321.55
9.9786e+05,722.67,516.95,985.98,354.99
9.9763e+05,797.68,570.66,1089.4,391.92
9.9737e+05,880.44,629.94,1203.5,432.68
9.9709e+05,971.74,695.35,1329.5,477.68
9.9678e+05,1072.5,767.53,1468.6,527.34
9.9643e+05,1183.6,847.17,1622.1,582.17
9.9605e+05,1306.1,935.03,1791.5,642.68
9.9563e+05,1441.2,1032,1978.5,709.47
9.9517e+05,1590.2,1138.9,2184.9,783.18
9.9466e+05,1754.5,1256.8,2412.7,864.53
9.941e+05,1935.6,1386.9,2664,954.3
9.9348e+05,2135.2,1530.3,2941.4,1053.4
9.928e+05,2355.1,1688.4,3247.5,1162.7
9.9204e+05,2597.3,1862.7,3585.1,1283.3
9.9121e+05,2864.2,2054.8,3957.7,1416.3
9.9029e+05,3158,2266.5,4368.6,1563.1
9.8928e+05,3481.4,2499.7,4821.9,1725
9.8817e+05,3837.3,2756.6,5321.9,1903.5
9.8694e+05,4228.8,3039.4,5873.2,2100.4
9.8559e+05,4659.2,3350.9,6481.1,2317.5
9.8411e+05,5132.4,3693.6,7151.2,2556.9
9.8247e+05,5652.2,4070.6,7890,2820.7
9.8067e+05,6223,4485.2,8704.1,3111.5
9.7869e+05,6849.3,4941,9601.1,3431.8
9.7652e+05,7536.2,5441.8,10589,3784.8
9.7413e+05,8289,5991.7,11678,4173.5
9.715e+05,9113.3,6595.3,12876,4601.4
9.6862e+05,10015,7257.4,14195,5072.5
9.6546e+05,11001,7983.2,15647,5590.9
9.6199e+05,12078,8778.1,17243,6161.1
9.5819e+05,13252,9648,18999,6788.2
9.5403e+05,14531,10599,20928,7477.3
9.4948e+05,15922,11638,23048,8234.4
9.4451e+05,17433,12772,25376,9065.7
9.3908e+05,19071,14007,27930,9978
9.3316e+05,20844,15352,30732,10978
9.2671e+05,22758,16813,33802,12075
9.197e+05,24821,18397,37165,13276
9.1209e+05,27039,20114,40844,14590
9.0383e+05,29416,21969,44867,16027
8.949e+05,31956,23970,49261,17596
8.8525e+05,34661,26123,54055,19308
8.7484e+05,37531,28433,59279,21174
8.6365e+05,40565,30906,64966,23205
8.5164e+05,43757,33543,71147,25413
8.3879e+05,47098,36347,77856,27808
8.2507e+05,50578,39316,85125,30405
8.1047e+05,54178,42448,92988,33213
7.9499e+05,57881,45736,1.0148e+05,36245
7.7863e+05,61658,49172,1.1063e+05,39512
7.614e+05,65482,52741,1.2046e+05,43024
7.4333e+05,69316,56428,1.3101e+05,46791
7.2446e+05,73121,60211,1.4229e+05,50822
7.0483e+05,76853,64065,1.5434e+05,55123
6.8451e+05,80464,67959,1.6715e+05,59699
6.6358e+05,83903,71859,1.8074e+05,64553
6.4213e+05,87120,75727,1.9511e+05,69686
6.2025e+05,90061,79521,2.1026e+05,75095
5.9805e+05,92676,83195,2.2616e+05,80775
5.7567e+05,94917,86703,2.428e+05,86718
5.5321e+05,96741,89996,2.6014e+05,92911
5.308e+05,98112,93028,2.7814e+05,99339
5.0859e+05,99003,95751,2.9675e+05,1.0598e+05
4.8667e+05,99392,98123,3.159e+05,1.1282e+05
4.6519e+05,99273,1.0011e+05,3.3552e+05,1.1983e+05
4.4423e+05,98645,1.0167e+05,3.5554e+05,1.2698e+05
4.2391e+05,97522,1.0278e+05,3.7588e+05,1.3424e+05
4.0431e+05,95926,1.0342e+05,3.9643e+05,1.4159e+05
3.8549e+05,93887,1.0359e+05,4.1712e+05,1.4897e+05
