,S,C,I,R,D
0,44999999.0,0.0,1.0,0.0,0.0
1,44999998.57000001,0.0,1.4089999904444444,0.021,0.0
2,44999997.96413003,0.0,1.9852809672830203,0.05058899979933333,0.0
3,44999997.11045925,0.0,2.7972608442803804,0.09227990011227677,0.0
4,44999995.907637164,0.0,3.941340452355419,0.15102237784216477,0.0
5,44999994.21286093,0.0,5.553348543243454,0.23379052734162858,0.0
6,44999991.82492136,0.0,7.82466779033358,0.3504108467497411,0.0
7,44999988.460314825,0.0,11.02495630533717,0.5147288703467463,0.0
8,44999983.71958483,0.0,15.534162218519057,0.7462529527588269,0.0
9,44999977.039897494,0.0,21.88763214926841,1.0724703593477272,0.0
10,44999967.62822047,0.0,30.839668896248536,1.5321106344823638,0.0
11,44999954.36717238,0.0,43.45308393516899,2.179743681303583,0.0
12,42209939.67005859,2789997.170764688,60.066918274104204,3.092258443942132,0.0
13,39612430.6654502,5387483.450112968,81.53077309556747,4.35366372769832,0.0
14,37194143.40079175,7805741.767220089,108.76617818814483,6.065809962705237,0.0
15,34942710.44236244,10057138.465698637,142.74203920179784,8.349899704656279,0.0
16,32846617.65804634,12153186.543865219,184.45060590337198,11.347482527894034,0.0
17,30895145.365341995,14104604.532857036,234.88085570935127,15.220945251864846,0.0
18,29078313.542007957,15921371.31377824,294.9907705704324,20.153443221761222,0.0
19,27386830.817519613,17612777.154186286,365.6800446865534,26.348249403740304,0.0
20,25812046.98299054,19187471.224793196,447.76468591206515,34.027530342157924,0.0
21,24345908.775462255,20653505.839165054,541.9547839350714,43.430588746311294,0.0
22,22980918.70954826,22018377.642369557,648.8364429618128,54.811639208947796,0.0
23,21710096.74537986,23289065.95886496,768.8585506556403,68.43720451114586,0.0
24,20526944.596685793,24472068.495366458,902.3247136618617,84.58323407491432,0.0
25,19425412.496689063,25573434.58089341,1049.3903644535742,103.53205306181341,0.0
26,18399868.252368424,26598796.113621876,1210.0647589725193,125.56925071533847,0.0
27,17445068.429559957,27553396.372473363,1384.21735601466,150.98061065376137,0.0
28,16556131.522420356,28442116.840498768,1571.58790573667,180.04917513006924,0.0
29,15728512.970996536,29269502.17700534,1771.7994769657655,213.05252115053932,0.0
30,14957981.9001054,30039783.465968087,1984.3736163385868,250.2603101668204,0.0
31,14240599.461483203,30756899.859512843,2208.7468478350484,291.9321561099307,0.0
32,13572698.66927394,31424518.72710821,2444.2877779231108,338.3158399144667,0.0
33,12950865.626445817,32046054.413513437,2690.314157484683,389.6458832508521,0.0
34,12371922.046705324,32624685.701458484,2946.109355623569,446.14248055803046,0.0
35,11832908.982966617,33163372.068444002,3210.9378123421934,508.0107770261254,0.0
36,11331071.679471398,33664868.82090882,3484.0591486802305,575.4404710853115,0.0
37,10863845.470279118,34131741.183289684,3764.7407179729653,648.6057132075964,0.0
38,10428842.652091654,34566377.41416396,4052.2684760811353,727.6652682850287,0.0
39,10023840.264270023,34971001.0166945,4345.956129179098,812.7629062827325,0.0
40,9646768.713468771,35347682.10596238,4645.152583837038,904.0279849954936,0.0
41,9295701.184579307,35698347.991455704,4949.247775713201,1001.5761892560714,0.0
42,8968843.78365697,36024793.02895943,5257.676991033974,1105.5103925460487,0.0
43,8664526.362226592,36328687.792343445,5569.9238205827105,1215.9216093577622,0.0
44,8381193.975834447,36611587.61225509,5885.521900851698,1332.8900095899992,0.0
45,8117398.932956266,36874940.52547104,6204.055603164083,1456.4859695078849,0.0
46,7871793.393396024,37120094.67563603,6525.159830749255,1586.7711371743305,0.0
