"","time","S","C","I","X"
"1",1,44999999,0,1,0
"2",2,44999998.4687403,0,1.50531446054041,0.0259452420174477
"3",3,44999997.6690309,0,2.26596829385045,0.0650008195729929
"4",4,44999996.4652189,0,3.41098943550147,0.123791640165529
"5",5,44999994.6531052,0,5.13460460235853,0.212290227597129
"6",6,44999991.9253049,0,7.72918674343448,0.345508402428053
"7",7,44999987.819125,0,11.6348321813447,0.546042812217393
"8",8,44999981.6380354,0,17.5140545394096,0.8479100825649
"9",9,44999972.333569,0,26.3641165399711,1.30231448830299
"10",10,44999958.3274496,0,39.6862156233325,1.98633479972041
"11",11,44999937.2438848,0,59.7401167445699,3.01599846062467
"12",11,44999940.2598833,0,59.7401167445699,0
"13",12,42303992.9514442,2695916.74262661,88.7634032874047,1.54252594512086
"14",13,39787781.954206,5212085.59735341,128.644456303805,3.8039843329128
"15",14,37439320.6289449,7560490.16791798,182.162162284627,7.04097485990639
"16",15,35247421.1382345,9752314.87912191,252.410794616413,11.5718489851879
"17",16,33201641.2336821,11797998.2408972,342.742655954961,17.7827647629333
"18",17,31292234.6174538,13707282.5567435,456.693456235111,26.1323464410828
"19",18,29510104.6242504,15489260.3264927,597.8946266685,37.1546302217959
"20",19,27846760.9708636,17152417.5913467,769.977690757829,51.4600989681525
"21",20,26294279.4561784,18704674.3331991,976.475993455725,69.7346290269963
"22",21,24845264.3040848,20153422.2298653,1220.72962302143,92.7364269430849
"23",22,23492813.0222776,21505559.8884493,1505.79823603475,121.291037119179
"24",23,22230483.5370708,22767525.7927224,1834.38552762351,156.284679209402
"25",24,21052263.7072507,23945328.8570174,2208.77972108611,198.656010806516
"26",25,19952542.5842383,25044577.2189988,2630.80975009269,249.387012751585
"27",26,18926083.725988,26070504.961807,3101.8191989873,309.493005982058
"28",27,17968000.2702454,27027997.0597329,3622.65767544148,380.012346287659
"29",28,17073731.6256826,27921612.6906199,4193.68760997684,461.996087567807
"30",29,16239021.7114651,28755606.9855046,4814.80507639623,556.497953902663
"31",30,15459898.6472952,29533951.3154343,5485.47240564231,664.564864846459
"32",31,14732655.7451308,30260352.2671899,6204.75943352428,787.228245826545
"33",32,14053833.806142,30938269.3059298,6971.39164569185,925.49628252437
"34",33,13420204.5890818,31570931.2612526,7783.80242647103,1080.34723915261
