Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,340543962,4369.006334116795,21522438,276.12196497448434,3472227,5570163,71.46236652130985,50240,0.6445537220419963,9184,
United States of America,Americas,68199861,20604.023,5223680,1578.138,762508,852334,257.501,12895,3.896,3058
India,South-East Asia,38566027,2794.631,1983898,143.76,347254,488396,35.391,3046,0.221,703
Brazil,Americas,23416748,11016.566,700657,329.629,204854,621855,292.556,1484,0.698,338
The United Kingdom,Europe,15613287,22999.272,645851,951.376,106533,153202,225.675,1860,2.74,330
France,Europe,15201084,23372.131,2293601,3526.482,421807,125413,192.826,1520,2.337,240
Russian Federation,Europe,10987774,7529.253,240649,164.902,49513,324752,222.533,4841,3.317,692
Turkey,Europe,10735324,12728.768,464975,551.316,71843,85419,101.28,1141,1.353,166
Italy,Europe,9418256,15791.45,1262611,2117.001,198865,142590,239.079,2402,4.027,385
Spain,Europe,8834363,18664.431,700089,1479.084,54954,91599,193.522,668,1.411,35
Germany,Europe,8460546,10172.996,625095,751.617,140160,116485,140.062,1148,1.38,170
Argentina,Americas,7446626,16476.377,781909,1730.049,128321,118628,262.476,958,2.12,208
Iran (Islamic Republic of),Eastern Mediterranean,6236567,7425.108,21786,25.938,4658,132152,157.337,150,0.179,20
Colombia,Americas,5624520,11053.853,213822,420.224,27603,131437,258.313,908,1.784,169
Mexico,Americas,4495310,3486.554,173995,134.95,60552,302112,234.317,876,0.679,323
Poland,Europe,4443217,11705.572,161745,426.114,36664,103626,273.001,1783,4.697,248
Indonesia,South-East Asia,4280248,1564.855,10508,3.842,2604,144201,52.72,38,0.014,2
Ukraine,Europe,3819538,8733.615,82028,187.562,20156,98993,226.354,925,2.115,150
Netherlands,Europe,3720816,21374.682,255689,1468.837,39978,21188,121.717,62,0.356,10
South Africa,Africa,3572860,6024.176,26052,43.926,3960,93846,158.233,857,1.445,139
Philippines,Western Pacific,3324478,3033.807,232173,211.873,31173,53153,48.506,417,0.381,109
Canada,Americas,2844912,7537.757,187528,496.866,22298,32008,84.807,926,2.453,181
Malaysia,Western Pacific,2820927,8715.711,22010,68.003,3764,31853,98.415,103,0.318,22
Peru,Americas,2723166,8259.062,282817,857.753,54942,203750,617.951,557,1.689,105
Czechia,Europe,2705754,25301.753,131436,1229.07,26907,36997,345.962,165,1.543,11
Belgium,Europe,2642761,22935.776,218369,1895.163,20,28759,249.591,144,1.25,5
Thailand,South-East Asia,2361702,3383.528,53087,76.056,8640,22000,31.519,102,0.146,13
Iraq,Eastern Mediterranean,2137267,5313.611,32327,80.37,5767,24272,60.344,43,0.107,5
Israel,Europe,2103945,24307.493,384275,4439.642,26110,8370,96.701,57,0.659,3
Viet Nam,Western Pacific,2094802,2152.078,119358,122.621,16715,36266,37.258,1096,1.126,152
Portugal,Europe,2059595,20004.013,285118,2769.236,56426,19447,188.881,244,2.37,34
Japan,Western Pacific,2017531,1595.183,208521,164.869,44638,18469,14.603,55,0.043,12
Romania,Europe,1964021,10161.092,88134,455.972,19105,59428,307.458,278,1.438,43
Chile,Americas,1916522,10025.643,67057,350.786,13865,39456,206.401,125,0.654,25
Switzerland,Europe,1833571,21186.042,156409,1807.232,128,12142,140.295,66,0.763,0
Greece,Europe,1742363,16255.562,129494,1208.128,18867,22366,208.666,634,5.915,81
Sweden,Europe,1741710,16864.633,203568,1971.109,39928,15631,151.352,58,0.562,1
Bangladesh,South-East Asia,1653182,1003.818,44140,26.802,0,28180,17.111,51,0.031,0
Australia,Western Pacific,1550145,6079.028,353728,1387.175,44622,2896,11.357,374,1.467,55
Austria,Europe,1530919,17199.281,138241,1553.084,25418,13501,151.678,51,0.573,7
Serbia,Europe,1501621,21678.72,101754,1469.01,17105,13181,190.292,178,2.57,29
Hungary,Europe,1401457,14345.189,74443,761.992,15957,40822,417.85,585,5.988,65
Pakistan,Eastern Mediterranean,1345801,609.257,33534,15.181,6808,29042,13.148,50,0.023,5
Denmark,Europe,1272864,21860.138,216475,3717.737,40626,3550,60.968,97,1.666,15
Kazakhstan,Europe,1202369,6403.514,93802,499.566,16442,18357,97.765,64,0.341,7
Ireland,Europe,1127951,22720.609,66835,1346.275,5523,6087,122.612,52,1.047,0
Jordan,Eastern Mediterranean,1117397,10951.508,25706,251.942,0,13028,127.686,83,0.813,0
Morocco,Eastern Mediterranean,1068941,2896.03,43043,116.614,0,15025,40.707,80,0.217,0
Georgia,Europe,1030710,25837.673,45908,1150.814,8767,14631,366.768,236,5.916,49
Cuba,Americas,1011811,8933.039,23022,203.256,3195,8352,73.738,21,0.185,4
Slovakia,Europe,903833,16560.169,29434,539.294,7035,17577,322.049,389,7.127,57
Nepal,South-East Asia,896584,3077.152,51083,175.321,8815,11635,39.932,22,0.076,3
Bulgaria,Europe,860877,12384.079,53900,775.374,8932,32518,467.785,596,8.574,87
Croatia,Europe,848150,20899.84,53960,1329.665,11343,13300,327.734,294,7.245,43
Lebanon,Eastern Mediterranean,840514,12314.421,38713,567.186,0,9429,138.145,91,1.333,0
Tunisia,Eastern Mediterranean,817051,6913.253,54334,459.732,0,25881,218.985,137,1.159,0
United Arab Emirates,Eastern Mediterranean,816945,8259.978,20948,211.801,3014,2204,22.284,22,0.222,4
Bolivia (Plurinational State of),Americas,785094,6725.714,73795,632.184,10867,20439,175.096,336,2.878,62
Belarus,Europe,721103,7631.268,9375,99.213,1618,5882,62.248,108,1.143,16
Republic of Korea,Western Pacific,719269,1402.927,35703,69.638,6769,6501,12.68,242,0.472,21
Guatemala,Americas,659655,3682.021,16208,90.469,3199,16203,90.441,75,0.419,12
Saudi Arabia,Eastern Mediterranean,638327,1833.542,39283,112.837,5591,8914,25.605,13,0.037,2
Costa Rica,Americas,631311,12392.94,30241,593.645,5359,7434,145.933,40,0.785,9
