Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2020-04-21 23:40:34,32.3182,-86.9023,5404,183,,,1,110.21407513687532,91829,699,3.386380458919319,84000001,USA,1872.8438759704152,13.14651119052097
Alaska,US,2020-04-21 23:40:34,61.3707,-152.4044,329,9,168,152.0,2,44.97330991258227,11119,42,2.735562310030395,84000002,USA,1860.1453118282088,12.76595744680851
American Samoa,US,2020-04-21 23:40:34,-14.270999999999999,-170.132,0,0,,,60,0.0,3,,,16,ASM,5.3917075537822825,
Arizona,US,2020-04-21 23:40:34,33.7298,-111.4312,5256,208,1155,3893.0,4,72.21052831151424,69364,637,3.95738203957382,84000004,USA,757.7159546112316,12.119482496194825
Arkansas,US,2020-04-21 23:40:34,34.9697,-92.3731,1990,42,809,1139.0,5,65.94198960568679,27441,291,2.1105527638190953,84000005,USA,1059.8962467367085,14.623115577889447
California,US,2020-04-21 23:40:34,36.1162,-119.6816,35750,1289,,,6,90.42265225117808,300100,4886,3.6078145991939095,84000006,USA,765.392916149561,13.776963203158044
Colorado,US,2020-04-21 23:40:34,39.0598,-105.3111,10473,483,,,8,181.86282545336337,47466,1880,4.611859066170152,84000008,USA,837.6136639765597,17.95092141697699
Connecticut,US,2020-04-21 23:40:34,41.5978,-72.7554,20360,1423,,,9,571.0620210939541,64192,1949,6.989194499017682,84000009,USA,1800.4721639520185,9.572691552062869
Delaware,US,2020-04-21 23:40:34,39.3185,-75.5071,2931,106,565,2260.0,10,300.9969561413238,16656,263,3.616513135448652,84000010,USA,1710.4760496383108,8.973046741726373
Diamond Princess,US,2020-04-21 23:40:34,,,49,0,0,49.0,88888,,,,0.0,84088888,USA,,
District of Columbia,US,2020-04-21 23:40:34,38.8974,-77.0268,3098,112,636,2350.0,11,438.96626137621166,14939,402,3.615235635894125,84000011,USA,2116.7582242411963,12.976113621691415
Florida,US,2020-04-21 23:40:34,27.7663,-81.6868,27869,867,,,12,129.75761831891322,457319,4235,3.1109835300871937,84000012,USA,2129.2699505539154,15.196096020668126
